X,Y
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1400,718
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1384,736
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1352,778
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1332,800
1326,800
-inf,-inf
1322,804
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1284,840
-inf,-inf
1278,846
1276,848
1272,852
1270,854
1264,858
1260,860
1258,864
1256,866
1252,868
1250,872
1246,874
1242,876
1240,878
1238,884
1234,884
1232,886
1226,890
1222,892
1222,894
1218,898
1214,900
1212,902
1210,904
1204,906
1202,908
1200,912
1196,914
1192,916
1190,916
1188,918
1184,922
1182,924
1178,926
1176,928
1172,930
1168,932
1164,932
1160,934
1158,938
-inf,-inf
1152,940
1148,942
1146,942
-inf,-inf
1140,946
-inf,-inf
-inf,-inf
-inf,-inf
1130,954
1128,956
1124,958
1120,960
1116,962
1114,964
1110,964
1110,966
1104,968
1100,972
1098,972
1094,974
1090,974
1088,978
1086,978
1084,978
1080,982
1074,984
1074,986
1070,988
1068,988
1064,988
1060,990
1058,990
1054,990
1054,992
1048,994
1046,996
1044,996
1040,998
1038,998
1032,998
1030,1002
1028,1002
1024,1000
1020,1004
1016,1004
1014,1006
1010,1008
1008,1008
1006,1006
1002,1008
1002,1010
998,1012
994,1014
992,1014
988,1014
984,1012
980,1014
978,1016
972,1016
970,1018
968,1018
-inf,-inf
960,1018
962,1018
958,1020
956,1020
952,1020
948,1022
948,1022
944,1022
938,1024
934,1024
934,1024
930,1024
928,1024
924,1022
920,1022
920,1024
914,1024
910,1024
908,1026
904,1024
902,1022
898,1026
896,1026
894,1024
890,1024
886,1022
884,1026
878,1024
876,1026
874,1028
874,1026
868,1022
866,1024
862,1022
860,1024
856,1024
854,1024
850,1024
848,1024
844,1024
842,1024
838,1024
834,1022
832,1020
830,1022
826,1022
822,1020
818,1020
816,1020
810,1020
810,1020
806,1018
-inf,-inf
802,1016
796,1016
794,1016
790,1016
788,1016
786,1012
780,1014
778,1012
774,1012
772,1010
772,1010
768,1008
766,1010
762,1008
758,1006
756,1006
752,1006
750,1004
746,1002
742,1002
738,1000
736,1000
732,1002
730,998
728,996
724,994
720,996
718,992
712,990
712,988
710,990
704,990
702,986
700,984
696,986
692,982
692,980
686,978
684,980
682,976
680,974
676,972
674,974
668,972
664,968
660,966
662,964
654,964
652,962
648,960
650,962
644,956
642,956
640,954
634,952
630,950
632,952
628,948
620,944
618,942
618,940
612,938
612,936
606,934
606,932
600,934
598,928
596,928
590,928
586,922
584,920
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
522,868
-inf,-inf
522,868
-inf,-inf
520,866
518,864
518,864
520,862
-inf,-inf
518,860
518,858
520,852
518,856
516,852
516,850
516,852
514,848
514,846
514,846
514,846
514,844
512,840
514,840
512,838
512,838
510,832
510,830
512,830
510,828
508,828
510,828
508,822
510,822
510,822
508,818
506,814
508,816
506,810
504,808
504,808
506,808
506,806
504,802
502,800
502,796
502,794
502,792
502,790
500,788
-inf,-inf
500,784
500,780
-inf,-inf
-inf,-inf
-inf,-inf
500,776
-inf,-inf
498,772
-inf,-inf
-inf,-inf
-inf,-inf
498,762
498,758
-inf,-inf
494,752
498,750
496,750
