X,Y
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1386,754
-inf,-inf
-inf,-inf
-inf,-inf
1374,770
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1336,808
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1316,828
1312,834
1306,836
1304,840
-inf,-inf
-inf,-inf
-inf,-inf
1292,848
-inf,-inf
-inf,-inf
1286,856
1280,860
1278,862
1276,864
1272,868
1268,872
1264,874
1260,878
1258,880
1256,882
1252,884
1248,886
1248,890
1242,890
1240,894
1236,896
1232,898
1232,900
1228,904
1224,906
1222,908
1218,912
1214,912
1212,914
1210,916
1206,918
1202,920
1200,922
1198,926
1194,926
1192,928
1186,930
1184,934
1182,936
1178,936
1176,940
1174,942
1168,942
1166,946
1162,948
1162,950
1156,950
1154,954
-inf,-inf
1146,958
1144,958
1142,960
-inf,-inf
1138,962
-inf,-inf
1130,966
-inf,-inf
-inf,-inf
1120,970
1116,970
1116,974
1112,976
1110,978
1108,980
1102,980
1100,982
1098,984
1096,984
1090,988
1088,986
1086,990
1082,990
1078,992
1076,996
1076,994
1072,994
1070,996
1064,998
1060,998
1056,1000
1054,1000
1054,1002
1048,1002
1044,1002
1042,1004
1040,1006
1036,1008
1032,1010
1032,1010
1028,1010
1024,1010
1022,1012
1018,1012
1016,1012
1014,1014
1010,1014
1006,1014
1004,1016
1000,1016
998,1020
996,1018
992,1020
988,1020
986,1020
982,1022
978,1022
974,1022
-inf,-inf
970,1020
966,1022
962,1022
-inf,-inf
960,1024
-inf,-inf
-inf,-inf
950,1026
946,1024
944,1026
940,1024
940,1026
934,1028
-inf,-inf
930,1028
926,1026
922,1030
920,1028
918,1028
914,1026
910,1026
906,1026
904,1026
904,1028
900,1028
896,1026
892,1028
890,1028
-inf,-inf
882,1026
880,1024
876,1024
874,1024
870,1026
866,1026
866,1024
862,1026
860,1024
856,1024
854,1024
850,1024
848,1022
844,1022
840,1022
