X,Y
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1086,668
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1074,684
-inf,-inf
1070,688
1068,692
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1052,712
1050,716
1048,720
-inf,-inf
-inf,-inf
-inf,-inf
1038,732
1038,732
1036,736
1032,738
1030,742
1026,744
1024,746
1024,750
1020,752
1018,754
1016,758
1014,760
1012,762
1008,764
1006,768
1004,770
1002,770
1000,774
998,776
996,778
994,780
992,782
988,786
988,788
984,788
982,792
980,794
978,798
976,798
972,800
970,804
968,806
966,806
964,808
960,810
960,812
958,814
956,816
954,818
952,820
948,822
948,824
944,826
942,828
940,828
938,832
936,832
934,834
932,836
928,838
926,840
924,842
922,842
920,844
918,846
916,848
914,848
912,850
910,852
908,854
904,856
902,856
900,856
898,858
896,860
894,862
892,862
890,864
886,866
886,866
882,868
880,868
878,870
876,872
874,872
872,874
870,876
866,876
864,876
864,878
862,880
860,880
856,880
854,882
852,882
850,882
848,884
846,886
842,886
840,886
838,888
836,890
834,888
830,892
830,890
828,890
826,892
824,892
822,892
820,894
816,894
-inf,-inf
812,894
810,896
808,896
806,896
804,896
800,898
798,900
796,898
794,898
794,898
790,900
788,898
786,900
784,902
782,900
780,902
776,900
776,900
774,900
772,900
770,902
766,902
764,902
762,902
760,902
756,902
754,902
752,904
752,900
750,900
748,902
744,902
742,902
740,902
738,900
736,900
734,900
732,902
730,902
728,900
726,900
724,900
720,900
720,900
718,900
714,896
710,898
710,898
708,898
706,894
702,896
700,894
698,894
696,894
694,894
692,892
690,892
688,890
684,892
684,890
680,888
680,888
678,886
674,886
672,886
670,886
666,886
666,884
662,882
662,880
660,880
656,880
656,878
654,876
652,878
648,876
646,876
644,874
642,874
640,872
638,870
636,870
632,866
630,866
628,864
628,864
624,862
620,864
620,860
618,858
616,858
614,856
610,854
608,852
608,854
602,850
604,848
600,848
596,844
594,842
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
546,794
546,790
546,794
546,792
546,792
546,792
546,790
544,788
544,788
544,786
544,786
544,786
544,784
544,784
544,782
544,782
544,778
544,780
542,778
542,776
542,774
542,774
542,772
542,772
542,770
542,770
544,766
544,764
542,764
540,762
540,760
540,760
542,758
540,756
542,754
538,754
540,752
540,752
540,750
540,748
538,746
538,744
540,742
540,740
538,740
538,738
538,736
538,734
536,734
538,730
540,728
538,726
538,726
538,724
538,722
538,720
-inf,-inf
536,714
538,714
536,712
534,710
534,706
536,704
536,704
534,700
534,698
534,696
534,694
