X,Y
1174,612
1182,612
1180,614
1180,616
1174,620
1172,624
1172,624
1172,626
1172,628
1172,628
1168,644
1168,652
1168,656
1168,664
1168,666
1166,668
1168,670
1166,674
1166,674
1164,678
1164,678
1160,690
1158,694
1124,758
1122,762
1120,764
1116,772
1112,776
1110,778
1108,780
1106,784
1102,790
1098,794
1096,798
1094,800
1092,802
1090,806
1088,808
1086,810
1082,814
1082,816
1078,818
1078,820
1074,824
1072,826
1072,830
1068,830
1066,834
1066,836
1062,838
1062,840
1060,844
1056,844
1056,848
1052,850
1052,852
1050,854
1048,856
1044,860
1042,860
1042,864
1038,866
1038,868
1034,870
1034,872
1032,874
1028,878
1024,880
1022,882
1022,882
1020,886
1018,886
1014,890
1014,890
1012,892
1008,894
1006,896
1006,898
1002,900
1002,900
988,912
988,914
984,916
982,916
982,918
978,920
976,922
974,922
972,924
970,928
970,928
968,930
966,932
962,932
960,932
958,934
958,938
956,936
952,938
952,942
948,942
948,944
944,944
942,944
940,944
938,948
938,948
936,946
934,948
930,950
930,952
928,952
926,954
924,952
922,954
920,954
916,956
916,958
914,958
912,960
910,958
908,960
906,960
904,964
902,960
900,966
900,964
898,964
896,966
894,966
890,968
890,966
888,970
886,966
884,970
882,968
880,970
878,970
876,970
874,970
872,970
870,970
868,970
868,972
864,972
864,972
860,972
858,972
858,972
856,974
850,974
848,974
848,972
846,972
844,972
840,974
840,974
838,974
836,976
834,972
832,974
830,972
828,972
826,972
824,972
824,972
820,972
812,970
810,970
808,970
808,970
800,968
800,968
798,966
796,966
794,966
784,962
782,962
776,960
772,958
770,960
768,958
768,956
766,956
762,956
762,954
760,956
758,954
756,952
754,950
750,950
750,952
748,948
746,948
746,948
744,946
742,946
740,942
738,942
736,940
734,940
732,938
730,936
726,936
726,934
726,932
724,932
722,932
720,930
718,928
714,926
714,924
712,924
710,924
708,922
706,920
704,918
704,916
702,914
700,914
696,914
694,912
694,908
690,904
690,904
688,902
682,900
682,900
682,898
680,896
678,894
674,892
672,892
670,888
670,886
668,884
666,882
666,880
662,878
662,876
658,874
656,872
654,870
652,868
650,866
648,864
646,862
606,824
606,824
608,822
608,822
608,822
610,822
608,816
608,816
610,816
608,816
610,816
610,814
610,812
610,812
610,808
610,810
612,808
612,808
612,806
612,806
612,804
612,804
612,802
612,800
614,800
614,798
612,794
614,794
614,792
612,790
614,790
614,788
614,786
614,784
614,784
614,782
614,780
614,780
616,776
614,776
616,774
616,772
614,772
616,770
616,768
614,768
618,764
618,764
616,762
618,760
616,758
618,756
616,754
618,754
618,750
618,748
618,748
618,746
618,744
620,742
620,740
618,738
620,736
620,734
620,732
620,730
620,728
620,726
620,724
620,720
622,718
620,716
622,714
620,710
622,706
624,704
624,702
624,698
624,696
624,694
624,692
624,688
624,686
624,684
624,682
624,680
624,668
624,666
626,662
626,660
626,658
626,654
628,624
628,618
628,612
628,610
628,604
630,600
630,594
630,588
