X,Y
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1382,754
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1320,812
-inf,-inf
-inf,-inf
-inf,-inf
1312,826
1308,828
-inf,-inf
1300,836
1296,840
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1280,852
1276,856
1274,858
1268,860
1268,864
1264,868
1262,870
1256,872
1254,874
1250,876
1250,880
1244,882
1244,888
1240,888
1236,890
1234,894
1230,896
1228,898
1224,900
1222,902
1218,906
1216,908
1212,910
1208,910
1204,912
1204,916
1198,916
1198,920
1192,920
1192,924
1186,926
1186,928
1180,930
1178,932
1176,934
1174,936
1168,938
1166,940
-inf,-inf
1158,944
1156,944
1152,948
1150,948
1146,952
1144,952
-inf,-inf
1140,956
1138,958
1132,960
1130,962
-inf,-inf
1124,966
1120,966
1118,968
1114,970
1112,972
1108,972
1106,976
1102,976
1098,976
1098,980
1092,980
1090,980
1088,984
1084,982
1082,986
1078,986
1076,988
1074,990
1070,990
1068,992
-inf,-inf
1060,994
1058,996
1054,996
1054,998
1048,1000
1046,1002
1042,1002
1040,1000
1038,1006
1032,1006
1028,1006
1030,1006
1024,1006
1022,1010
1018,1008
1016,1012
1012,1012
1010,1010
1006,1010
1004,1016
1000,1012
998,1012
996,1016
994,1016
988,1014
986,1018
984,1018
980,1020
976,1018
972,1020
-inf,-inf
966,1020
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
954,1020
952,1024
948,1024
946,1024
942,1022
938,1024
936,1024
934,1026
930,1024
928,1024
924,1026
922,1024
918,1026
916,1024
914,1026
910,1026
906,1024
904,1026
902,1024
898,1026
896,1026
892,1026
888,1024
886,1026
884,1026
880,1026
878,1024
874,1024
870,1024
868,1022
864,1022
864,1022
860,1022
856,1020
852,1020
852,1022
848,1020
846,1020
842,1022
838,1018
836,1018
834,1018
832,1018
828,1016
826,1018
822,1014
818,1018
816,1014
-inf,-inf
810,1012
806,1012
804,1014
804,1012
798,1010
796,1008
792,1010
790,1008
784,1006
782,1004
-inf,-inf
776,1004
776,1002
-inf,-inf
770,1000
766,1002
-inf,-inf
762,1000
-inf,-inf
754,996
750,994
750,994
746,994
744,990
740,990
736,992
734,988
732,988
730,984
726,982
724,982
720,980
716,982
714,978
712,976
708,974
706,974
702,972
700,972
696,970
694,968
692,966
686,968
686,962
682,960
680,958
676,958
674,956
672,954
668,954
666,952
662,952
658,950
654,946
654,944
652,942
650,944
644,940
642,938
638,938
634,936
634,932
630,930
626,928
624,928
622,924
618,924
616,920
614,916
612,914
606,912
604,910
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
596,900
-inf,-inf
596,900
-inf,-inf
-inf,-inf
-inf,-inf
600,902
600,902
600,902
602,904
606,904
604,904
608,904
608,904
608,904
608,904
612,908
612,908
614,908
614,906
616,908
616,908
618,906
618,908
618,908
620,908
622,908
622,908
624,906
626,908
626,908
626,908
628,906
628,906
628,908
630,908
632,906
632,904
634,906
636,906
638,906
638,906
638,906
642,906
640,904
642,902
640,904
642,904
644,902
644,902
644,902
646,902
648,900
650,900
648,898
650,898
652,898
652,898
654,898
652,896
654,896
656,896
658,894
658,894
658,894
660,894
660,892
660,890
662,890
662,888
664,888
666,888
668,888
666,886
668,884
668,884
670,882
670,882
670,882
672,880
672,878
672,880
676,878
676,876
676,876
678,874
678,874
678,872
680,870
680,870
682,868
682,868
682,866
684,866
684,864
686,864
686,862
686,860
688,860
686,858
688,856
690,856
690,854
-inf,-inf
692,852
692,850
-inf,-inf
694,848
694,846
694,844
696,844
698,844
698,842
700,840
700,838
700,836
700,834
700,832
702,832
-inf,-inf
704,830
704,826
-inf,-inf
704,824
708,824
706,820
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
714,802
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
