X,Y
1184,624
1184,624
1184,626
1182,628
1182,630
1182,630
1182,632
1180,640
1180,642
1180,644
1178,646
1178,646
1178,648
1178,650
1178,652
1178,654
1178,658
1178,658
1176,664
1174,672
1176,674
1176,676
1174,678
1174,678
1170,688
1156,718
1154,722
1130,756
1128,760
1126,762
1118,770
1116,774
1114,776
1112,780
1110,782
1106,786
1102,790
1100,794
1098,798
1096,800
1094,802
1092,804
1090,806
1086,810
1084,812
1082,814
1080,818
1078,820
1074,822
1072,826
1068,828
1068,830
1066,832
1064,836
1062,838
1060,840
1058,842
1054,844
1054,848
1050,848
1048,852
1046,854
1044,856
1042,858
1040,860
1036,862
1036,864
1032,866
1032,868
1028,870
1026,872
1024,874
1020,878
1020,878
1018,882
1014,884
1012,886
1008,888
1006,888
1006,890
1004,892
1000,894
998,896
992,900
990,906
988,906
984,908
982,910
980,912
978,914
976,914
974,916
972,918
968,918
966,920
964,922
962,922
962,926
960,926
956,926
954,930
952,930
950,932
948,934
946,934
944,936
942,936
940,940
938,940
934,940
932,940
930,942
928,944
926,946
924,946
922,948
922,950
918,950
914,952
912,952
912,952
908,954
906,954
904,956
902,956
900,958
898,958
896,958
894,960
892,960
890,960
888,960
886,964
884,964
880,964
878,964
876,964
874,966
872,966
870,966
868,966
866,966
864,968
862,968
860,968
858,968
856,968
854,972
852,970
848,970
846,970
844,970
842,972
840,970
838,970
836,972
834,972
832,972
830,974
828,972
826,972
822,974
820,978
816,974
810,972
808,972
798,972
796,972
794,972
792,970
788,972
786,970
784,972
782,970
780,972
778,970
778,970
772,968
770,970
768,968
764,964
762,966
760,966
756,966
756,964
754,962
752,964
748,964
746,964
744,962
742,960
740,960
738,958
736,958
734,956
732,956
730,956
728,954
726,954
722,952
722,954
720,950
716,950
716,952
714,950
710,946
710,946
708,946
704,944
704,944
700,942
698,940
696,942
694,936
692,938
690,936
686,936
686,932
684,932
680,930
682,932
678,930
674,926
672,926
670,924
668,922
666,924
664,920
664,918
658,918
656,918
654,916
654,914
652,910
650,908
648,906
646,906
644,904
642,902
638,900
636,898
634,896
632,894
630,894
628,892
626,888
624,888
628,884
628,884
630,884
630,884
632,886
634,884
634,888
634,888
634,886
638,886
638,888
638,888
640,884
640,886
640,884
642,884
644,886
644,886
642,884
644,884
646,886
646,884
648,886
650,884
650,884
648,882
652,884
652,884
654,884
652,884
654,884
656,884
656,884
658,882
658,882
660,882
658,882
660,882
662,880
662,880
664,880
664,880
664,878
666,880
666,878
666,878
668,876
668,876
670,874
668,876
672,874
670,872
674,874
672,874
672,870
672,870
676,868
676,868
678,868
676,868
678,866
680,866
680,864
680,864
682,862
682,862
682,858
684,858
686,860
684,858
686,858
686,856
686,854
686,852
688,852
688,852
690,850
690,848
692,848
692,846
694,846
694,844
694,842
696,842
696,840
696,840
698,838
698,838
700,834
700,832
700,830
700,830
702,828
702,828
704,824
704,824
706,822
706,822
706,820
706,818
708,816
708,814
710,814
710,812
710,810
710,808
712,808
712,804
712,802
714,802
714,800
714,798
716,796
716,794
718,794
718,792
720,788
720,786
720,784
722,782
722,782
722,780
724,774
724,774
726,772
726,770
726,768
728,766
728,764
728,762
730,760
730,756
730,754
732,750
732,746
734,744
734,742
734,740
736,738
734,736
738,732
738,730
738,724
740,722
740,722
742,718
742,712
744,708
746,700
752,682
