X,Y
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1390,746
1390,752
-inf,-inf
-inf,-inf
-inf,-inf
1374,768
1374,772
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
1342,808
-inf,-inf
-inf,-inf
-inf,-inf
1332,816
-inf,-inf
-inf,-inf
-inf,-inf
1320,832
1316,836
1310,838
1308,844
-inf,-inf
-inf,-inf
-inf,-inf
1294,856
1296,856
-inf,-inf
1288,862
1286,864
1282,868
1278,872
1276,876
1272,880
1268,880
1266,886
1262,886
1260,890
1256,892
1254,896
1250,900
1246,900
1244,904
1240,908
1238,908
1234,912
1230,914
1228,918
1224,920
1220,924
1218,926
1216,930
1214,932
1210,932
1206,934
1204,938
1198,938
1198,942
1194,946
1190,946
1188,950
1184,952
1184,954
1180,956
1176,958
1172,960
1170,962
1166,964
1162,966
1160,968
1156,970
1154,972
1150,974
1146,978
1148,980
1144,982
1138,982
1136,984
1134,988
1128,988
1126,992
1122,992
1122,994
1118,996
1116,998
1112,1000
1106,1004
1106,1004
1102,1008
1098,1006
1094,1010
1092,1012
1088,1014
1086,1014
1082,1014
1080,1018
1078,1020
1074,1022
1072,1022
1068,1024
1066,1026
1062,1028
1056,1028
1054,1028
1052,1030
1048,1032
1044,1036
1042,1034
1038,1038
1036,1036
1032,1038
1028,1042
1026,1040
1024,1042
1020,1044
1016,1046
1014,1046
1010,1046
1006,1050
1002,1050
1004,1050
998,1052
994,1054
990,1054
988,1054
986,1056
982,1056
978,1056
974,1058
970,1058
-inf,-inf
-inf,-inf
960,1060
-inf,-inf
956,1064
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
940,1064
938,1062
936,1064
-inf,-inf
928,1066
926,1068
924,1068
-inf,-inf
-inf,-inf
914,1070
910,1068
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
894,1072
890,1070
-inf,-inf
-inf,-inf
882,1072
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
866,1072
-inf,-inf
-inf,-inf
856,1070
852,1070
850,1072
846,1070
842,1070
840,1070
836,1070
-inf,-inf
830,1070
828,1070
-inf,-inf
820,1068
-inf,-inf
814,1070
-inf,-inf
808,1068
804,1068
-inf,-inf
798,1066
794,1068
792,1068
788,1066
-inf,-inf
782,1068
780,1064
774,1064
772,1064
770,1062
766,1062
762,1062
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
726,1054
724,1052
-inf,-inf
-inf,-inf
712,1050
710,1050
706,1050
702,1046
700,1046
696,1042
692,1042
688,1044
686,1040
684,1036
680,1038
676,1038
674,1034
670,1032
664,1034
662,1032
660,1032
658,1026
654,1024
650,1026
648,1022
644,1022
642,1018
638,1018
632,1018
632,1016
626,1016
624,1012
618,1012
616,1010
616,1006
612,1006
608,1004
606,1002
600,1000
600,998
594,996
592,994
586,992
586,990
582,988
580,986
576,986
574,980
568,980
568,976
562,978
558,976
554,972
554,968
550,966
-inf,-inf
-inf,-inf
542,964
-inf,-inf
-inf,-inf
530,952
-inf,-inf
524,948
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
502,930
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
544,878
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
-inf,-inf
554,862
556,860
556,856
-inf,-inf
560,854
562,850
562,844
566,842
566,842
566,838
568,836
572,832
572,830
574,826
576,822
574,822
578,816
578,814
580,814
582,808
582,808
584,802
586,802
590,796
590,794
592,792
592,790
594,786
596,780
598,780
598,776
600,774
600,768
604,766
604,764
608,758
608,756
608,752
610,748
612,746
612,740
614,736
616,734
618,730
618,726
620,724
620,718
624,716
