X,Y
1154,650
1154,648
1154,648
1154,648
1156,646
1156,646
1156,646
1156,646
1156,646
1158,644
1158,644
1158,644
1158,644
1158,644
1158,642
1158,642
1158,642
1160,642
1160,640
1160,640
1162,638
1162,638
1162,638
1162,640
1162,640
1162,638
1162,638
1162,638
1166,636
1166,636
1166,636
1166,638
1166,638
1168,634
1166,630
1166,630
1166,630
1164,628
1158,640
1156,640
1156,640
1156,644
1154,646
1154,648
1154,650
1154,650
1152,656
1152,664
1152,664
1152,666
1152,668
1152,670
1150,670
1152,680
1152,682
1150,684
1150,686
1150,688
1150,690
1150,692
1148,694
1148,696
1148,700
1144,706
1102,778
1100,780
1098,784
1096,788
1092,792
1090,794
1088,796
1086,800
1084,804
1080,808
1078,812
1076,814
1074,816
1068,822
1066,828
1062,828
1060,830
1060,834
1056,838
1054,838
1052,842
1050,846
1048,846
1046,850
1044,852
1040,854
1038,858
1036,860
1034,862
1032,864
1030,866
1028,870
1024,872
1022,874
1022,876
1018,878
1018,882
1014,884
1012,886
1010,888
1008,890
1006,892
1002,894
1000,896
998,900
996,902
994,904
988,908
988,910
984,910
982,912
982,914
980,918
976,918
976,922
972,922
968,926
966,928
964,930
960,930
958,936
958,936
954,936
952,938
950,940
948,942
946,944
944,946
940,946
938,950
938,950
934,952
934,954
930,958
928,956
926,960
924,958
922,960
918,960
916,964
916,966
912,964
910,966
908,968
906,970
902,970
900,972
898,974
898,974
894,978
892,978
890,976
888,978
886,980
884,980
882,980
878,982
878,984
876,986
872,986
870,988
868,990
866,988
864,988
862,990
860,990
856,990
852,992
850,992
848,992
846,994
844,994
842,994
840,996
838,996
836,996
834,998
832,996
828,1002
828,998
824,998
822,1000
820,1002
814,1000
816,1000
812,1000
812,1002
810,1002
806,1002
804,1002
802,1002
800,1002
798,1004
796,1002
792,1002
792,1004
788,1004
780,1002
776,1002
774,1002
772,1002
770,1002
770,1004
764,1002
762,1004
758,1006
756,1002
756,1002
754,1002
750,1004
748,1002
746,1002
742,998
736,1000
738,1000
734,998
732,998
728,998
728,996
724,996
724,994
720,998
718,994
716,994
714,996
714,992
708,990
706,990
706,990
702,988
700,988
702,990
698,986
694,988
694,984
692,986
690,986
688,984
682,980
680,980
678,982
678,978
678,980
674,978
672,976
666,974
666,974
662,972
660,974
658,970
656,968
656,968
650,964
648,962
646,962
644,960
644,960
640,958
636,956
634,958
636,954
632,952
630,950
628,950
624,948
620,944
622,944
616,942
614,940
614,938
608,934
608,934
606,932
604,932
600,930
596,926
596,924
592,920
584,914
588,916
594,920
596,920
596,920
598,922
596,920
600,924
600,922
602,924
600,922
602,922
604,926
604,924
604,924
606,926
606,926
608,924
608,924
610,924
612,926
612,924
612,924
612,926
612,928
616,924
616,924
618,924
616,924
618,926
618,924
620,924
618,924
622,924
622,924
622,922
626,922
626,924
626,922
628,922
628,922
628,922
630,922
628,920
632,920
632,920
634,918
634,918
634,920
634,916
636,916
638,918
640,916
640,914
642,914
638,912
640,914
642,914
642,914
644,912
646,910
644,910
644,910
648,908
648,906
648,906
650,906
650,904
652,904
652,904
654,900
654,900
656,900
656,898
656,896
658,896
658,894
660,896
660,892
662,892
660,890
662,890
664,888
664,886
664,886
664,884
666,882
666,882
668,880
668,880
670,880
670,876
670,876
670,876
672,872
672,872
672,872
674,868
674,866
674,866
676,864
676,862
678,860
678,860
680,858
680,856
680,856
680,854
682,852
684,850
684,848
684,848
684,846
686,844
686,842
688,840
688,840
688,838
690,836
690,834
690,832
690,830
692,830
692,826
694,824
694,822
694,820
696,818
696,818
696,816
698,812
698,810
700,808
700,806
700,804
700,802
700,802
702,798
704,798
704,794
704,792
704,790
704,788
706,786
708,784
708,782
708,780
708,778
710,774
710,774
710,770
710,768
712,766
712,764
714,762
714,758
714,758
716,754
716,752
716,750
718,748
718,746
718,742
720,740
720,738
720,734
722,734
722,730
722,728
724,726
724,724
724,720
726,718
726,716
726,714
726,710
728,706
730,700
730,698
732,692
736,670
738,664
